family,N,d,q,p,sample_idx,relax_core_ratio,relax_rounded_ratio,opt_warm_ratio,opt_cold_ratio
Gilbert,5,,0.25,3,19,0.3333333333333333,1.0,0.9090145417529597,0.804738058782766
Gilbert,5,,0.25,4,0,0.20833333333333334,1.0,0.9867833283208185,0.8883849077103676
Gilbert,5,,0.25,4,1,0.20833333333333334,1.0,0.9933241996662986,0.9004885712942269
Gilbert,5,,0.25,4,2,0.125,1.0,0.9999999996435318,0.9999999999836464
Gilbert,5,,0.25,4,3,0.125,1.0,0.9999999996435308,0.9999999999836469
Gilbert,5,,0.25,4,4,0.0,1.0,0.75,0.4999999999999994
Gilbert,5,,0.25,4,5,0.20833333333333334,1.0,0.9933241996662997,0.9004885712942273
Gilbert,5,,0.25,4,6,0.20833333333333334,1.0,0.986700489817852,0.9329095594956831
Gilbert,5,,0.25,4,7,0.3333333333333333,1.0,0.9999999999995555,0.9999999999087238
Gilbert,5,,0.25,4,8,0.20833333333333334,1.0,0.986700489817851,0.9329095594846399
Gilbert,5,,0.25,4,9,0.125,1.0,0.9345902511188642,0.8222008323467812
Gilbert,5,,0.25,4,10,0.20833333333333334,1.0,0.986783328320819,0.8883849077103675
Gilbert,5,,0.25,4,11,0.20833333333333334,1.0,0.9933241996662998,0.9004885712942268
Gilbert,5,,0.25,4,12,0.0,1.0,0.75,0.4999999999999994
Gilbert,5,,0.25,4,13,0.0,1.0,0.75,0.4999999999999994
Gilbert,5,,0.25,4,14,0.20833333333333334,1.0,0.9867833283208177,0.8883849077103682
Gilbert,5,,0.25,4,15,0.20833333333333334,1.0,0.9933241996662995,0.9004885712942269
Gilbert,5,,0.25,4,16,0.20833333333333334,1.0,0.9867833283208184,0.8883849077103673
Gilbert,5,,0.25,4,17,0.17708333333333334,0.5,0.9087177289107163,0.862102181372785
Gilbert,5,,0.25,4,18,0.3333333333333333,1.0,0.9898784764040583,0.9004885712942264
Gilbert,5,,0.25,4,19,0.3333333333333333,1.0,0.9886659530178107,0.9386980348109318
Gilbert,5,,0.25,5,0,0.20833333333333334,1.0,0.9895627368385694,0.8934292517685029
Gilbert,5,,0.25,5,1,0.20833333333333334,1.0,0.9970986435107219,0.99125968927552
Gilbert,5,,0.25,5,2,0.125,1.0,0.9999999997879825,0.9999999999073254
Gilbert,5,,0.25,5,3,0.125,1.0,0.9999999997879825,0.9999999999073259
Gilbert,5,,0.25,5,4,0.0,1.0,0.75,0.5000000000000007
Gilbert,5,,0.25,5,5,0.20833333333333334,1.0,0.9970986435078592,0.99125968927552
Gilbert,5,,0.25,5,6,0.20833333333333334,1.0,0.9906675589598098,0.9382090356314782
Gilbert,5,,0.25,5,7,0.3333333333333333,1.0,0.9999999999999091,0.999999999999202
Gilbert,5,,0.25,5,8,0.20833333333333334,1.0,0.9906675589598085,0.9382090358686996
Gilbert,5,,0.25,5,9,0.125,1.0,0.9681792548913513,0.9521920233497685
Gilbert,5,,0.25,5,10,0.20833333333333334,1.0,0.9895627368385691,0.8934292517685046
Gilbert,5,,0.25,5,11,0.20833333333333334,1.0,0.9970986435094994,0.9912596892755184
Gilbert,5,,0.25,5,12,0.0,1.0,0.75,0.5000000000000007
Gilbert,5,,0.25,5,13,0.0,1.0,0.75,0.5000000000000007
Gilbert,5,,0.25,5,14,0.20833333333333334,1.0,0.9895627368385694,0.8934292517685036
Gilbert,5,,0.25,5,15,0.20833333333333334,1.0,0.9970986435090262,0.99125968927552
Gilbert,5,,0.25,5,16,0.20833333333333334,1.0,0.9895627368385697,0.8934292517685026
Gilbert,5,,0.25,5,17,0.17708333333333334,0.5,0.9250486238365218,0.9038649014632153
Gilbert,5,,0.25,5,18,0.3333333333333333,1.0,0.9973288371646335,0.9912596892755193
Gilbert,5,,0.25,5,19,0.3333333333333333,1.0,0.9999999980768691,0.9806210958360806
Gilbert,5,,0.25,6,0,0.20833333333333334,1.0,0.9978129371920422,0.8683482232743178
Gilbert,5,,0.25,6,1,0.20833333333333334,1.0,0.999784477533888,0.9555158339735742
Gilbert,5,,0.25,6,2,0.125,1.0,0.999999999790259,0.9999999999667919
Gilbert,5,,0.25,6,3,0.125,1.0,0.9999999997902598,0.9999999999667923
Gilbert,5,,0.25,6,4,0.0,1.0,0.75,0.4999999999999991
Gilbert,5,,0.25,6,5,0.20833333333333334,1.0,0.9997844788580738,0.955515833973502
Gilbert,5,,0.25,6,6,0.20833333333333334,1.0,0.997462248390414,0.9920524229358222
Gilbert,5,,0.25,6,7,0.3333333333333333,1.0,0.9999999999985616,0.9999999999900404
Gilbert,5,,0.25,6,8,0.20833333333333334,1.0,0.9974622483904145,0.990845406041839
Gilbert,5,,0.25,6,9,0.125,1.0,0.9999975448726953,0.9974793609993624
Gilbert,5,,0.25,6,10,0.20833333333333334,1.0,0.9978129371920424,0.8683482232743175
Gilbert,5,,0.25,6,11,0.20833333333333334,1.0,0.9997844746261365,0.9555158339735463
Gilbert,5,,0.25,6,12,0.0,1.0,0.75,0.4999999999999991
Gilbert,5,,0.25,6,13,0.0,1.0,0.75,0.4999999999999991
Gilbert,5,,0.25,6,14,0.20833333333333334,1.0,0.9978129371920418,0.868348223274317
Gilbert,5,,0.25,6,15,0.20833333333333334,1.0,0.9997844789342659,0.9555158339734949
Gilbert,5,,0.25,6,16,0.20833333333333334,1.0,0.9978129371920423,0.8683482232743174
