family,N,q,p,relax_ratio_mean,relax_ratio_stderr,opt_warm_ratio_mean,opt_warm_ratio_stderr,opt_cold_ratio_mean,opt_cold_ratio_stderr
linear,9,,3,1.0,nan,0.7862852695622122,nan,0.6439593538903132,nan
linear,10,,3,1.0,nan,0.808976477227026,nan,0.7184466368073241,nan
linear,11,,3,1.0,nan,0.874839417260036,nan,0.6659405284362747,nan
linear,12,,3,1.0,nan,0.8363932517922152,nan,0.7300691557147054,nan
linear,13,,3,1.0,nan,0.7389854377506487,nan,0.6808913878628567,nan
linear,14,,3,1.0,nan,0.8566844226606972,nan,0.7361162351774616,nan
linear,15,,3,1.0,nan,0.7666596039759297,nan,0.6924929722816766,nan
linear,16,,3,1.0,nan,0.8722425380316327,nan,0.7409376093013293,nan
linear,17,,3,1.0,nan,0.789024045266246,nan,0.7017105101871156,nan
linear,18,,3,1.0,nan,0.8845217987047076,nan,0.7448399483852,nan
linear,19,,3,1.0,nan,0.8074064740047657,nan,0.7091946982460359,nan
linear,20,,3,1.0,nan,0.8944462207264527,nan,0.7480519737721074,nan
linear,5,,5,1.0,nan,0.6666665760787426,nan,0.8827933827294324,nan
linear,6,,5,1.0,nan,0.9999999999621153,nan,0.9146714740654431,nan
linear,7,,5,1.0,nan,0.9999987835999404,nan,0.7814059151890241,nan
linear,8,,5,1.0,nan,0.9999999999079354,nan,0.8816312584708154,nan
linear,9,,5,1.0,nan,0.993295869656983,nan,0.791178978103184,nan
linear,10,,5,1.0,nan,0.9735242342017643,nan,0.8740200953281836,nan
linear,11,,5,1.0,nan,0.9962293230505802,nan,0.7583487496310067,nan
linear,12,,5,1.0,nan,0.9965675833639763,nan,0.8286706071240006,nan
linear,13,,5,1.0,nan,0.9999999998739771,nan,0.7708089001692154,nan
linear,14,,5,1.0,nan,0.9848003163122963,nan,0.8315162995508756,nan
linear,15,,5,1.0,nan,0.9926041958817636,nan,0.7808243192448896,nan
linear,16,,5,1.0,nan,0.9999999999659841,nan,0.8341741373626795,nan
linear,17,,5,1.0,nan,0.99999999987134,nan,0.7889834559671173,nan
linear,18,,5,1.0,nan,0.9999999988388473,nan,0.8365385908593185,nan
linear,19,,5,1.0,nan,0.9999999991039491,nan,0.7957287794819645,nan
linear,20,,5,1.0,nan,0.9999999990400357,nan,0.8386098843743538,nan
linear,5,,7,1.0,nan,0.999999955250845,nan,0.8920780242975422,nan
linear,6,,7,1.0,nan,0.9999999987849245,nan,0.9702178692882887,nan
linear,7,,7,1.0,nan,0.999999873399185,nan,0.838814032571298,nan
linear,8,,7,1.0,nan,0.9999999999182092,nan,0.9426914834371011,nan
linear,9,,7,1.0,nan,0.7983493706174536,nan,0.8187124477816067,nan
linear,10,,7,1.0,nan,0.9999999961021586,nan,0.9226030275844934,nan
linear,11,,7,1.0,nan,0.9995425812941733,nan,0.8149703134563038,nan
linear,12,,7,1.0,nan,0.9999999076027658,nan,0.8799217199119697,nan
linear,13,,7,1.0,nan,0.857142850372077,nan,0.8196619289405345,nan
linear,14,,7,1.0,nan,0.9999999662962942,nan,0.8804187465650263,nan
linear,15,,7,1.0,nan,0.9999999552480355,nan,0.8371384513413209,nan
linear,16,,7,1.0,nan,0.9999803903055754,nan,0.8894355858680937,nan
linear,17,,7,1.0,nan,0.9755276776476456,nan,0.8371766882590905,nan
linear,18,,7,1.0,nan,0.9999993566383281,nan,0.8838399621593376,nan
linear,19,,7,1.0,nan,0.9999979396351705,nan,0.8311291253598257,nan
linear,20,,7,1.0,nan,0.9999999983000845,nan,0.8741754001575558,nan
linear,5,,10,1.0,nan,0.9999979148099136,nan,0.9989798674283605,nan
linear,6,,10,1.0,nan,0.999999391476995,nan,0.9650564923789752,nan
linear,7,,10,1.0,nan,0.9999994655833684,nan,0.9338845406671574,nan
linear,8,,10,1.0,nan,0.9999999846610617,nan,0.989614780773367,nan
linear,9,,10,1.0,nan,0.7997913797700443,nan,0.8607379938862068,nan
linear,10,,10,1.0,nan,0.9999993864046935,nan,0.9428380249909706,nan
linear,11,,10,1.0,nan,0.8332193807228535,nan,0.8920175846799129,nan
linear,12,,10,1.0,nan,0.9999997422390857,nan,0.9688705059681927,nan
linear,13,,10,1.0,nan,0.857138729549245,nan,0.8767831046453926,nan
linear,14,,10,1.0,nan,0.9999990149463115,nan,0.9432726813286588,nan
linear,15,,10,1.0,nan,0.9999999948358231,nan,0.8516771172262632,nan
linear,16,,10,1.0,nan,0.9999980431958992,nan,0.925984045162977,nan
linear,17,,10,1.0,nan,0.9999251240081652,nan,0.8758848184097641,nan
linear,18,,10,1.0,nan,0.9999999072859218,nan,0.9288662914158551,nan
linear,19,,10,1.0,nan,0.9999998023845151,nan,0.8647826094629476,nan
linear,20,,10,1.0,nan,0.9999999890234669,nan,0.909201705461987,nan
circular,5,,1,-0.25,nan,0.7712509435331883,nan,0.7712509435331886,nan
circular,6,,1,1.0,nan,0.6534659776008458,nan,0.6170007548265507,nan
circular,7,,1,0.16666666666666666,nan,0.719834213964309,nan,0.7198342139643091,nan
circular,8,,1,1.0,nan,0.6534659776008462,nan,0.6170007548265508,nan
circular,9,,1,0.625,nan,0.6941258491798694,nan,0.6941258491798699,nan
circular,10,,1,1.0,nan,0.6534659776008457,nan,0.6170007548265504,nan
circular,11,,1,0.1,nan,0.6787008303092057,nan,0.6787008303092061,nan
circular,12,,1,1.0,nan,0.6534659776008462,nan,0.6170007548265509,nan
circular,13,,1,0.25,nan,0.6684174843954297,nan,0.6684174843954303,nan
circular,14,,1,1.0,nan,0.6534659776008453,nan,0.6170007548265508,nan
circular,15,,1,0.14285714285714285,nan,0.6610722373141612,nan,0.6610722373141618,nan
circular,16,,1,1.0,nan,0.6534659776008458,nan,0.6170007548265508,nan
